F,COL106,LH 111
F,COL226,LH 114
F,COL774,LH 526
F,CVL222,LH 310
F,CVL313,LH 517
F,CVL705,LH 623
F,CVL714,III 342
F,CVL723,VI 402
F,CVL778,LH 605
F,CVL830,LH 612
F,DSL811,LH 518
F,DSR862,LH 520
F,ELL225,LH 316
F,ELL303,LH 318
F,ELL703,IIA 201
F,ELL715,LH 527
F,ELL723,IIA 106
F,ELL769,IIA 101
F,ELL778,LH 603
F,ELL855,LH 620
F,ESL746,LH 622
F,ESL755,II 336
F,ITL711,V 344
F,MCL131,LH 408
F,MCL133,LH 510
F,MCL321,LH 410
F,MCL345,III 339
F,MCL743,IV 339
F,MCL784,IV 323
F,MCL814,LH 325
F,MCL865,LH 604
F,MTL122,LH 416
F,MTL732,WS 101
F,MTL743,MZ 163
F,MTL766,II 337
F,PTL716,IV 254
F,PYL202,LH 418
F,PYL651,V 418
F,PYL747,V 417
F,RDL722,LH 121
F,SBL201,LH 519
F,TXL241,LH 512
F,TXL742,VI 404
F,TXL782,TX 120
H,AML706,LH 518
H,APL705,LH 410
H,ASL734,II 336
H,ASL738,LH 615
H,BBL432,LH 416
H,BBL745,LH 606
H,CLL766,LH 613
H,CLL779,LH 611
H,CLL785,VI 301
H,CML724,LH 619
H,COL352,LH 526
H,COL740,LH 111
H,COL786,IIA 106
H,COL863,LH 520
H,CVL382,LH 517
H,CVL443,LH 519
H,CVL702,LH 623
H,CVL811,LH 605
H,CVL838,LH 612
H,DSL734,LH 621
H,DSL782,LH 603
H,ELL411,LH 308
H,ELL720,LH 527
H,ELL774,VI 402
H,ELL814,IIA 201
H,ESL732,LH 622
H,ESL871,LH 614
H,HUL211,LH 310
H,HUL231,LH 316
H,HUL242,LH 318
H,HUL380,LH 521
H,ITL709,VI 404
H,MCL132,LH 408
H,MCL136,LH 602
H,MCL347,LH 604
H,MCL748,LH 620
H,MCL771,III 339
H,MCL826,IV 339
H,MTL776,LH 418
H,PYL102,LH 108
H,PYL556,LH 510
H,PYL650,III 342
H,PYL725,V 417
H,PYL746,V 418
H,PYL761,IV 323
H,PYL892,III 336
H,RDL701,LH 512
H,TXL773,II 337
H,TXL777,TX 120
J,AMP776,LH 621
J,APL774,LH 615
J,ASL763,LH 619
J,BBL343,LH 308
J,BBL431,LH 310
J,BBL445,LH 510
J,BML750,LH 518
J,BML820,VI 404
J,COL726,LH 527
J,COL829,LH 603
J,CRL706,LH 605
J,CVL431,LH 316
J,CVL482,LH 612
J,CVL735,III 342
J,CVL859,LH 614
J,CVL864,LH 623
J,DSL714,LH 620
J,DSL732,LH 622
J,EEL861 / ELL821,IIA 106
J,ELL365,LH 108
J,ELL409,LH 517
J,ELL705,IIA 201
J,ELL817,IIA 305
J,ESL300,LH 318
J,ESL340,LH 408
J,HUL307,LH 519
J,HUL360,LH 521
J,HUL362,LH 602
J,HUL372,LH 604
J,HUL375,LH 606
J,HUL381,LH 611
J,ITL702,V 344
J,MAL245 / MTL411,LH 410
J,MCL343,LH 613
J,MCL747,III 339
J,MTL508,MZ 163
J,PTL709,IV 339
J,PYL204,LH 416
J,PYL707,LH 512
J,PYL772,IV 323
J,RDL700,TX 120
J,RDL760,VI LT 1
J,TXL372,LH 418
J,TXL771,LH 121
K,APL711,LH 521
K,ASL760,LH 602
K,BML741,LH 606
K,CML695 / CML739,LH 310
K,COL781,LH 526
K,COL819,IIA 106
K,CVL746,LH 611
K,HUL843,II 336
K,MTL145,LH 308
K,MTL792,LH 604
K,PYL726,VI 404
K,PYL741,LH 410
L,CML675 / CML740,LH 310
L,COL867,IIA 305
L,COL869,IIA 106
L,CVL844,LH 605
L,PYL758,VI 404
M,APL720,LH 615
M,BML735,LH 518
M,CVL422,LH 512
M,CVL845,LH 606
M,CVL849,LH 605
M,ELL726,IIA 201
M,ELL800,IV 323
M,ELL850,IIA 305
M,ELL870,LH 603
M,ELL881,LH 602
M,ELL894,IIA 106
M,ESL714,LH 604
M,ESL718,VI 402
M,ESL880,LH 520
M,HUL234,LH 308
M,HUL242,LH 310
M,HUL253,LH 416
M,HUL271,LH 316
M,HUL272,LH 318
M,HUL275,LH 408
M,HUL315,LH 517
